,AAPL,TSLA,MSFT,VZ,AMZN,BA,MS,DB,JPM,META,INTC,GS,HPE,TCS,WMT,T,TGT,WFC,V
2012-04-18,21.726428985595703,2.177333116531372,31.13999938964844,37.65999984741211,9.553500175476074,73.70999908447266,17.65999984741211,43.36832046508789,43.290000915527344,38.22999954223633,27.950000762939453,115.33000183105467,9.618976593017578,36.20000076293945,62.060001373291016,23.22507667541504,57.380001068115234,33.56999969482422,30.44499969482422
2012-04-19,20.979999542236328,2.21066689491272,31.01000022888184,38.150001525878906,9.55500030517578,73.0999984741211,18.06999969482422,42.24236679077149,43.220001220703125,38.22999954223633,27.690000534057617,113.5999984741211,9.618976593017578,36.20000076293945,61.75,23.2175235748291,56.790000915527344,33.119998931884766,30.29750061035156
2012-04-20,20.46357154846192,2.21066689491272,32.41999816894531,38.72999954223633,9.49899959564209,73.55000305175781,17.479999542236328,43.28244400024414,42.720001220703125,38.22999954223633,27.600000381469727,112.44000244140624,9.618976593017578,36.20000076293945,62.45000076293945,23.30815696716309,57.27999877929688,33.0,30.252500534057617
2012-04-23,20.417856216430664,2.129333019256592,32.119998931884766,38.56999969482422,9.411999702453612,72.86000061035156,16.979999542236328,41.68893051147461,42.84999847412109,38.22999954223633,27.450000762939453,111.75,9.618976593017578,36.20000076293945,59.540000915527344,23.119335174560547,56.63999938964844,32.689998626708984,29.52499961853028
2012-04-24,20.01000022888184,2.121332883834839,31.920000076293945,39.5,9.51650047302246,73.20999908447266,17.399999618530273,42.08015441894531,43.27999877929688,38.22999954223633,27.309999465942383,114.11000061035156,9.618976593017578,36.20000076293945,57.77000045776367,23.957704544067383,56.72999954223633,33.06999969482422,29.732500076293945
2012-04-25,21.78571319580078,2.194000005722046,32.20000076293945,39.47999954223633,9.720999717712402,77.08000183105469,17.139999389648438,43.38740539550781,43.15999984741211,38.22999954223633,27.86000061035156,113.9800033569336,9.618976593017578,36.20000076293945,57.36000061035156,23.97281074523925,56.83000183105469,33.349998474121094,30.44750022888184
2012-04-26,21.70357131958008,2.2326669692993164,32.11000061035156,40.13999938964844,9.799500465393066,76.98999786376953,17.209999084472656,41.88931274414063,43.79999923706055,38.22999954223633,28.21999931335449,114.55999755859376,9.618976593017578,36.20000076293945,58.95000076293945,24.501510620117188,57.4900016784668,33.84000015258789,30.79750061035156
2012-04-27,21.53571319580078,2.22266697883606,31.979999542236328,40.22999954223633,11.342499732971191,77.2699966430664,16.950000762939453,42.45228958129883,43.34000015258789,38.22999954223633,28.3799991607666,114.41000366210938,9.618976593017578,36.20000076293945,59.02999877929688,24.67522621154785,58.2599983215332,33.77000045776367,30.8799991607666
2012-04-30,20.856428146362305,2.208667039871216,32.02000045776367,40.380001068115234,11.595000267028809,76.80000305175781,17.280000686645508,41.40267181396485,42.97999954223633,38.22999954223633,28.39999961853028,115.1500015258789,9.618976593017578,36.20000076293945,58.90999984741211,24.856494903564453,57.93999862670898,33.41999816894531,30.7450008392334
2012-05-01,20.79035758972168,2.252000093460083,32.0099983215332,40.560001373291016,11.501999855041504,77.25,17.489999771118164,42.15649032592773,43.790000915527344,38.22999954223633,28.950000762939453,115.33000183105467,9.618976593017578,36.20000076293945,59.06999969482422,24.969789505004883,58.0099983215332,34.09000015258789,30.772499084472656
